FID,objectid_1,objectid,facility_n,begin,end,facility_c,status,route_id,bpp_2005,local_plan,jurisdicti,st,note,miles,priority,yr_constr,i269,blvd,divided,fund_sourc,shape_leng,shape_le_1,Shape__Length
463,997,1077,Front St,Beale,Dr MLK Jr,Marked Shared Roadway,Existing,MEM 10; MEM 60,,ARRA,Memphis,TN,,0.0945311668211,Secondary,2011,N,,,ARRA,499.124560815,499.124560815,186.377262432166
464,998,1078,Peabody Ave,Dr MLK Jr,Waldran,Bike Lane,Existing,MEM 10; MEM 60,,2003ROUTES; 2012PW,Memphis,TN,,0.152556351851,Primary,2012,N,,,Local,805.497537773,805.497537773,299.869279823311
465,999,1079,McLean Blvd,Tutwiler,North Pkwy,Bike Lane,Existing,,,STP3,Memphis,TN,,0.168494411853,Primary,2011,N,,,STP-M,889.650494582,889.650494582,332.758968007128
466,1000,1080,Cooper St,Peabody,Central,Signed Shared Roadway,Existing,MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.393342959975,,2003,,,,Local,2076.85082867,2076.85082867,776.610206916956
467,1001,1081,Goodlett St,Walnut Grove,Tuckahoe,Bike Lane,Existing,MEM 40; MEM 60,,ARRA,Memphis,TN,,0.456769536415,Primary,2012,N,,,ARRA,2411.74315227,2411.74315227,901.832520557274
468,1002,1082,Goodlett St,Tuckahoe,Central,Signed Shared Roadway,Existing,MEM 40; MEM 50,,ARRA,Memphis,TN,,0.153790998709,Primary,2012,N,,,ARRA,812.016473186,812.016473186,303.624052439601
469,1003,1083,Southern Ave,Goodlett,Cherry,Bike Lane,Existing,MEM 50; MEM 60,,ARRA,Memphis,TN,,0.475791643655,Regional,2010,N,,,ARRA,2512.1798785,2512.1798785,935.032070963136
470,1004,1084,Southern Ave,Cherry,Perkins Ext,Bike Lane,Existing,,,"ARRA
ARRA",Memphis,TN,,0.457626167435,Regional,2010,N,,,ARRA,2416.26616406,2416.26616406,899.336291338934
471,1005,1085,Central Ave,Goodwyn,Lafayette,Marked Shared Roadway,Existing,MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.198143151249,Primary,2012,N,,,Local,1046.19583859,1046.19583859,389.432859731499
472,1006,1087,Broad Ave,Hollywood,Collins,Cycle Track,Existing,,,MEMfix,Memphis,TN,,0.297308271796,Primary,2010,N,,,Private,1569.78767508,1569.78767508,584.545353841706
473,1007,1088,Shady Grove Rd,Perkins,Mendenhall,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.688517156866,Primary,2003,N,Y,,Local,3635.37058825,3635.37058825,1353.56054072927
474,1008,1089,Main St,Carolina,Crump,Marked Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.242174611631,,2012,,,,ARRA,1278.68194941,1278.68194941,478.132794258549
475,1009,1090,Winchester Rd,Clarke,Hickory Hill,Bike Lane,Existing,,,STP1,Memphis,TN,,0.488476328002,Regional,2013,N,,,STP-M,2579.15501185,2579.15501185,959.182655718451
476,1010,1091,Appling Rd,I-40,Dexter,Bike Lane,Existing,,Funded,2013PW,Memphis,TN,,0.948207262859,Regional,2013,N,,,Local,5006.53434789,5006.53434789,1872.96974051798
477,1011,1092,Appling Rd,Appling Farms,I-40,Signed Shared Roadway,Existing,,,2013PW,Memphis,TN,,0.229134161673,,2013,,,,Local,1209.82837364,1209.82837364,452.627846058308
478,1012,1093,Appling Rd,US-64,Appling Farms,Bike Lane,Existing,,,2013PW,Memphis,TN,,1.09541595014,,2013,,,,Local,5783.79621675,5783.79621675,2164.50326852802
479,1013,1094,Wolf River Blvd,Kimbrough,Farmington,Buffered Bike Lane,Existing,,NEW2011,,Germantown,TN,,1.84320680108,Primary,2013,N,,,,9732.13190968,9732.13190968,3625.25034214426
480,1014,1095,Overton Park Ave,Bellevue,Cleveland,Cycle Track,Existing,MEM 10; MEM 20,,2003Routes,Memphis,TN,,0.334824469898,Primary,2013,N,,,Local,1767.87320106,1767.87320106,658.323615402264
481,1015,1096,Claybrook St,Autumn,Overton Park,Bike Lane,Existing,,,2013PW,Memphis,TN,,0.104021375279,,2013,,,,Local,549.232861475,549.232861475,205.420664271814
482,1016,1097,Autumn Ave,Bellevue,Montgomery,Bike Lane,Existing,,,2013PW,Memphis,TN,,0.0979225933022,,2013,,,,Local,517.031292636,517.031292636,192.534923502639
483,1017,1098,Autumn Ave,Montgomery,Claybrook,Marked Shared Roadway,Existing,,,2013PW,Memphis,TN,,0.122824527545,,2013,,,,Local,648.513505439,648.513505439,241.496339135743
484,1018,1099,Autumn Ave,Claybrook,Cleveland,Bike Lane,Existing,,,2013PW,Memphis,TN,,0.136605661224,,2013,,,,Local,721.277891261,721.277891261,268.590736849061
485,1023,1105,Danny Thomas Blvd (TN-1),Alabama,EH Crump,Cycle Track,Existing,,NEW2014,2014TDOT,Memphis,TN,,1.91052511609,,2014,,,,TDOT,10087.572613,10087.572613,3770.97122295088
486,1027,1109,Altruria Rd,Egypt Central,St Elmo,Bike Lane,Existing,,,,Bartlett,TN,,0.901093344604,Secondary,2010,N,,,,4757.77285951,4757.77285951,1781.01654238901
487,1029,1111,North Parkway (TN-1),US-51,Manassas,Signed Shared Roadway,Existing,MEM 10; MEM 20,,2003Routes,Memphis,TN,,0.232293536142,Primary,2003,N,,,Local,1226.50987083,1226.50987083,456.744637299917
488,1030,1112,Richland View Greenway,Richland View,Richland Ridge,Shared Use Path,Existing,,,,Bartlett,TN,,0.069855155389,,0,,,,,368.835220454,368.835220454,137.517150792765
489,1031,1113,Delano Rd,Alta Vista,Stage-Delano,Signed Shared Roadway,Existing,MEM 20; MEM 30,,ARRA,Memphis,TN,,0.177168831305,Primary,2012,N,,,ARRA,935.451429291,935.451429291,349.603393029709
490,1032,1114,Dogwood Rd,Kimbrough,Yester Oaks,Paved Shoulder,Existing,,,,Germantown,TN,,0.706850133463,Primary,0,N,,,,3732.16870468,3732.16870468,1388.64765723093
491,1033,1115,Dogwood Rd,Yester Oaks,Elm Row,Signed Shared Roadway,Existing,,,,Germantown,TN,,0.174503998113,Primary,0,N,,,,921.381110036,921.381110036,343.044044314731
492,1034,1116,Frayser Blvd,Range Line,Warford,Signed Shared Roadway,Existing,MEM 30; MEM 60,,2003Routes,Memphis,TN,,0.703560499168,Regional,2003,N,,,Local,3714.79943561,3714.79943561,1384.49876980477
493,1037,1119,Knight Arnold Rd,Inverness Parkway,Hickory Hill,Signed Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.130400590308,Secondary,2011,N,,,ARRA,688.515116825,688.515116825,256.090423114692
494,1038,1120,Knight Arnold Rd,Clarke,Inverness Parkway,Bike Lane,Existing,,,ARRA,Memphis,TN,,0.441063083753,Secondary,2011,N,,,ARRA,2328.81308221,2328.81308221,866.19519253162
495,1039,1121,Knight Arnold Rd,Kings Arms,Clarke,Signed Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.0632302193733,Secondary,2011,N,,,ARRA,333.855558291,333.855558291,124.176715522969
496,1040,1122,Knight Arnold Rd,Emerald,Kings Arms,Bike Lane,Existing,,,ARRA,Memphis,TN,,0.221148292543,Secondary,2011,N,,,ARRA,1167.66298462,1167.66298462,434.347749085032
497,1041,1123,Knight Arnold Rd,Castleman,Emerald,Signed Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.616696299233,Secondary,2011,N,,,ARRA,3256.15645995,3256.15645995,1211.23366443408
498,1042,1124,Knight Arnold Rd,Perkins,Boxdale,Signed Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.125015992363,Secondary,2011,N,,,ARRA,660.084439679,660.084439679,245.520865068273
499,1043,1125,Ranch Rd,Robertson Gin,US-51,Signed Shared Roadway,Existing,Lake & Back,,,DeSoto Co,MS,,2.01910904553,,0,,,,,10660.8957604,10660.8957604,3951.10021308687
500,1044,1126,Oak Leaf Dr,Alexander,Magnolia,Bike Lane,Existing,,,,Olive Branch,MS,,0.167656185047,,0,,,,,885.224657051,885.224657051,328.820142488636
501,1045,1127,Alexander Rd,Goodman,Oak Leaf,Bike Lane,Existing,,,,Olive Branch,MS,,0.615896732164,,0,,,,,3251.93474582,3251.93474582,1212.88531545695
502,1046,1128,Olive Branch Greenway,,,Shared Use Path,Existing,,,,Olive Branch,,REDRAW TO AERIALS,0.58472582541,,0,,,,,3087.35235816,3087.35235816,1149.39390592653
503,1047,1129,Harpers Ferry Greenway,Ashton Woods,Travelers,Shared Use Path,Existing,Progress Road Trail,,,Collierville,TN,,0.583273202355,,0,,,,,3079.68250843,3079.68250843,1147.03249095161
504,1048,1130,Tara Woods Greenway,Harpers Ferry,Belle Watley,Shared Use Path,Existing,Progress Road Trail,,,Collierville,TN,,0.172172279733,,0,,,,,909.06963699,909.06963699,339.398096338464
505,1049,1131,Raleigh Millington Rd,South of Duncan,North of Fite,Bike Lane,Existing,,,,Shelby Co,TN,CHECK - lane exists but no marking or signs except <bike> Begin / End signs at either end of facility,0.466677393082,Regional,2011,,,,,2464.05663547,2464.05663547,922.393132666844
506,1050,1132,Raleigh Millington Rd,North of Duncan,South of Duncan,Signed Shared Roadway,Existing,,,,Shelby Co,TN,,0.150762679452,Regional,2011,,,,,796.026947505,796.026947505,297.659276747623
507,1051,1133,Raleigh Millington Rd,South of Waverly Farms,North of Duncan,Bike Lane,Existing,,,,Shelby Co,TN,CHECK - lane exists but no marking or signs except <bike> Begin / End signs at either end of facility,0.444146611112,Regional,2011,,,,,2345.09410667,2345.09410667,877.980514806164
508,1052,1134,Raleigh Millington Rd,Amherst,South of Waverly Farms,Signed Shared Roadway,Existing,,,,Shelby Co,TN,,0.208629260267,Regional,2011,,,,,1101.56249421,1101.56249421,412.652248426251
509,1053,1135,Range Line Rd,St Elmo,Melissa,Signed Shared Roadway,Existing,MEM 30; MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.518049699977,PRimary,2003,,,,Local,2735.30241588,2735.30241588,1024.09888136529
510,1054,1136,Slocum Rd,McCracken,McCracken,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,0.187086990909,Secondary,0,N,,,,987.819311998,987.819311998,366.136156789144
511,1055,1137,McCracken Rd,Slocum,Love,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,2.12316411114,Secondary,0,N,,,,11210.3065068,11210.3065068,4170.28191847362
512,1056,1138,Love Rd,McCracken,Grays Creek,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,1.90138996539,Secondary,0,N,,,,10039.3390173,10039.3390173,3728.99886176431
513,1057,1139,Grays Creek Rd,Love,Unnamed,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,1.48739451675,Secondary,0,N,,,,7853.44304844,7853.44304844,2915.140235934
514,1058,1140,Getwell Rd,Cleveland,Unnamed,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,1.21536887611,Secondary,0,N,,,,6417.14766584,6417.14766584,2388.35484821808
515,1059,1141,Cleveland Rd,Getwell,Malone,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,0.993777906809,Secondary,0,N,,,,5247.14734795,5247.14734795,1945.03945018086
516,1060,1142,Malone Rd,Holly Springs,Cleveland,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,1.50139892522,Secondary,0,N,,,,7927.38632517,7927.38632517,2952.28459308955
517,1061,1143,Holly Springs Rd Ext,Malone,Johnston,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,0.479432268304,Secondary,0,N,,,,2531.40237664,2531.40237664,938.675870866127
518,1062,1144,Johnston Rd,Laughter,Holly Springs,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,0.444318279586,Secondary,0,N,,,,2346.00051621,2346.00051621,873.790240257886
519,1063,1145,Bright Rd,Malone,Laughter,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,1.00834564803,Secondary,0,N,,,,5324.06502161,5324.06502161,1975.06463965503
520,1064,1146,Jaybird Rd,Bright Rd,North of Oak Creek,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,0.55234310575,Secondary,0,N,,,,2916.37159836,2916.37159836,1086.69240974109
521,1065,1147,Porter Run Greenway,Peyton,Winchester,Shared Use Path,Existing,Sander's Creek Trail,,,Collierville,TN,,0.227953560681,,0,,,,,1203.59480039,1203.59480039,449.532117208891
522,1066,1148,Peyton Ridge Greenway,Poplar,Peyton,Shared Use Path,Existing,Sander's Creek Trail,,,Collierville,TN,,0.280577777236,,0,,,,,1481.45066381,1481.45066381,552.456286254288
523,1067,1149,Stoney Brooke Greenway,Stoney Brooke,Poplar,Shared Use Path,Existing,Sander's Creek Trail,,,Collierville,TN,,0.38064966191,,0,,,,,2009.83021489,2009.83021489,750.681779566573
524,1068,1150,Brooke Edge Greenway,Shea Woods,Stoney Brooke,Shared Use Path,Existing,Sander's Creek Trail,,,Collierville,TN,ROADS FILE NEEDS UPDATING AT NORTHERN END OF TRAIL,0.697786616529,,0,,,,,3684.31333528,3684.31333528,1374.44254298372
525,1069,1151,Semmes St,Sharpe,Wildrose,Signed Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.142323539429,Primary,2011,N,,,ARRA,751.468288187,751.468288187,280.17488735019
526,1070,1152,Shady Grove Rd,Yates,I-240 bridge,Bike Lane,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.417701184731,Primary,2008,N,,,Local,2205.46225538,2205.46225538,821.038767660477
527,1071,1153,Shady Grove Rd,I-240 bridge,Brierview,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.276955080965,Primary,2008,N,,,Local,1462.3228275,1462.3228275,544.327107784896
528,1072,1154,Shady Grove Rd,Brierview,Shady Grove,Bike Lane,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.37100080598,Primary,2008,N,,,Local,1958.88425558,1958.88425558,729.529565700808
529,1073,1155,Shady Grove Rd,Shady Grove,Meadowgrove,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.071559173577,Primary,2008,N,,,Local,377.832436486,377.832436486,140.663358205338
530,1074,1156,South Parkway,Cummings,US-51,Bike Lane,Existing,,,ARRA,Memphis,TN,,0.340679916479,Primary,2011,N,,,ARRA,1798.78995901,1798.78995901,669.460173183345
531,1075,1157,South Parkway,College,Cummings,Signed Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.152414086945,Primary,2011,N,,,ARRA,804.74637907,804.74637907,299.504458608442
532,1077,1159,Southern Ave,Highland,Minor,Signed Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.0924586868189,Regional,2010,N,,,ARRA,488.181866404,488.181866404,181.814454232713
533,1078,1160,Mileston Greenway,Johnson Park,Shelton,Shared Use Path,Existing,Wagon Trail,,,Collierville,TN,,0.502711911478,Secondary,0,N,,,,2654.3188926,2654.3188926,991.910935910014
534,1079,1161,Johnson Park Greenway,Byhalia Rd,Johnson Park,Shared Use Path,Existing,Wagon Trail,,,Collierville,TN,,1.77637787386,,0,,,,,9379.275174,9379.275174,3497.76191522768
535,1080,1162,Hunters Mill Greenway,Byhalia,Wolf River,Shared Use Path,Existing,Wagon Trail,,,Collierville,TN,,0.506021761392,,0,,,,,2671.79490015,2671.79490015,997.991048839662
536,1082,1164,Johnson Park Boardwalk,Johnson Park,Wolf River,Shared Use Path,Existing,Wagon Trail,,,Collierville,TN,,0.890861700884,,0,,,,,4703.74978067,4703.74978067,1754.9793760418
537,1083,1165,Byhalia Road Greenway,Shelton,Frank,Shared Use Path,Existing,Halle Park Trail,,,Collierville,TN,,1.21481632001,,0,,,,,6414.23016965,6414.23016965,2391.74780464179
538,1084,1166,Surrey Oaks Greenway,Frank,Surrey Oaks,Shared Use Path,Existing,Halle Park Trail,,,Collierville,TN,,0.389516334946,,0,,,,,2056.64624851,2056.64624851,768.048924833581
539,1086,1168,Waring Rd,Castle,Summer,Signed Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.240693743056,,2011,,,,ARRA,1270.86296333,1270.86296333,475.344850820789
540,1106,1188,Johnson Rd Greenway,Wolf River,Poplar Pike,Shared Use Path,Existing,,,,Germantown,TN,,3.41455527613,Primary,0,N,,,,18028.851858,18028.851858,6728.30544053031
541,1107,1189,Woodridge Ln Greenway,Riverdale,Poplar,Shared Use Path,Existing,,,,Germantown,TN,,0.591395057599,Primary,0,N,,,,3122.56590412,3122.56590412,1164.09349109792
542,1108,1190,Germantown Wolf River Greenway,Memphis City Limit,Wolf River,Shared Use Path,Existing,,,,Germantown,TN,,3.29268283652,Primary,0,N,,,,17385.3653768,17385.3653768,6480.18734918253
543,1109,1191,Miller Farms Road Greenway,Wolf River,Miller Farms,Shared Use Path,Existing,,,,Germantown,TN,,0.766903994241,Primary,0,N,,,,4049.25308959,4049.25308959,1510.19907149845
544,1111,1193,Brierbrook Greenway,Wolf River,Brierbrook,Shared Use Path,Existing,,,,Germantown,TN,,0.213607145855,,0,,,,,1127.84573011,1127.84573011,420.844321542858
545,1112,1194,Exeter Road Greenway,Farmingdale,Exeter,Shared Use Path,Existing,,,,Germantown,TN,,0.201808024797,,0,,,,,1065.54637093,1065.54637093,397.661752774694
546,1113,1195,Goodlett St,South of Langston,Goodlett Cove,Bike Lane,Existing,MEM 50; MEM 60,,STP2,Memphis,TN,,0.32806293934,Primary,2012,N,,,STP-M,1732.17231971,1732.17231971,647.645577001641
547,1114,1196,Goodlett St,Goodlett Pl,South of Grandview,Signed Shared Roadway,Existing,MEM 50; MEM 60,,STP2,Memphis,TN,,0.212586410063,Primary,2012,N,,,STP-M,1122.45624513,1122.45624513,419.673343754263
548,1115,1197,Goodlett St,Central,South of Langston,Signed Shared Roadway,Existing,MEM 50; MEM 60,,STP2,Memphis,TN,,0.0865170941004,Primary,2012,N,,,STP-M,456.81025685,456.81025685,170.803994794877
549,1116,1198,Hollywood St,Melissa,Corning,Signed Shared Roadway,Existing,MEM 30; MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.116860235259,Primary,2003,N,,,Local,617.022042168,617.022042168,231.001998765109
550,1117,1199,Milton Wilson Dr,Milton Wilson,SR-385,Paved Shoulder,Existing,,,,Arlington,TN,,0.258575180203,,0,,,,,1365.27695147,1365.27695147,510.900039064596
551,1119,1202,Bluff Walk,Union,Monteigne,Shared Use Path,Existing,,,PARKS,Memphis,TN,,1.01592254778,,1998,,,,Local,5364.07105228,5364.07105228,2002.92646717951
552,1120,1203,Kansas Rd,I-55,Chicago,Bike Lane,Existing,,,2010PW,Memphis,TN,,0.38745395902,Regional,2010,N,,,Local,2045.75690362,2045.75690362,764.502647864134
553,1121,1204,Nonconnah Greenway,Sterling Oaks,Stone Village,Shared Use Path,Existing,,,,Collierville,TN,VERIFY TERMINI IN FIELD,0.160086501069,,0,,,,,845.256725643,845.256725643,314.722101372496
554,1124,1207,Peabody Ave,East,Peabody,Signed Shared Roadway,Existing,,,2012PW,Memphis,TN,,0.0445051592987,Primary,2012,N,,,Local,234.987241097,234.987241097,87.5906387223579
555,1125,1208,US-64,Fayette Co Line,Oakland City Limit,Signed Shared Roadway,Existing,TN 100,,,Fayette Co,TN,PAVED SHOULDER?,0.568146663274,Regional,0,Y,,,,2999.81438209,2999.81438209,1119.31239706809
556,1126,1209,US-64,Oakland City Limit,MPO Boundary,Signed Shared Roadway,Existing,TN 100,,,Fayette Co,TN,PAVED SHOULDER?,1.28804696338,Regional,0,Y,,,,6800.88796663,6800.88796663,2535.02243199122
557,1127,1210,Alicia Dr,Poplar,Union,Bike Lane,Existing,,,STP-BIKE,Memphis,TN,,0.444273878687,,2018,,,Y,STP-BIKEPED,2345.76607947,2345.76607947,876.603074826327
558,1128,1211,Brooks Rd,New Horn Lake,US-61,Bike Lane,Existing,,,STP-BIKE,Memphis,TN,,0.554639838816,,2015,,,,STP-BIKEPED,2928.49834895,2928.49834895,1089.2745326196
559,1131,1214,"Dr. MLK, Jr. Ave",Fourth,Manassas,Cycle Track,Existing,,,STP-BIKE,Memphis,TN,,0.846657131413,,2019,,,P,Local,4470.34965386,4470.34965386,1664.39807083762
560,1132,1215,"Dr. MLK, Jr. Ave",Linden,Peabody,Cycle Track,Existing,,,STP-BIKE,Memphis,TN,,0.177439396498,,2019,,,,Local,936.880013512,936.880013512,349.795645516898
561,1133,1216,East Parkway South,McLemore,Lamar,Bike Lane,Existing,,,STP-BIKE,Memphis,TN,,0.289370784524,,2020,,,P,STP-BIKEPED,1527.87774228,1527.87774228,571.138824282469
562,1134,1217,Evergreen St,Galloway,Beard,Cycle Track,Existing,MEM 10; MEM 20; MEM 40,,STP-BIKE,Memphis,TN,,0.468497405326,Primary,2020,,,,STP-BIKEPED,2473.66630012,2473.66630012,925.117403779489
563,1135,1218,Belvedere Blvd,Beard,Poplar,Cycle Track,Existing,MEM 10; MEM 40,,STP-BIKE,Memphis,TN,,0.0846997865224,Primary,2020,,,,STP-BIKEPED,447.214872838,447.214872838,167.009727958524
564,1137,1220,Goodlett St,Graham,Walnut Grove,Buffered Bike Lane,Existing,MEM 40; MEM 60,,STP-BIKE,Memphis,TN,,0.509035187491,,2020,,,,STP-BIKEPED,2687.70578995,2687.70578995,1004.19539994471
565,1147,1233,North Parkway,Watkins,Overton Park Entrance,Bike Lane,Existing,,,2016PW,Memphis,TN,,1.37780129445,,2016,,,,Local,7274.79083469,7274.79083469,2709.26255194532
566,1149,1236,South Parkway,US-51,Lamar,Bike Lane,Existing,,,STP-BIKE,Memphis,TN,,1.72666191847,,2020,,,,STP-BIKEPED,9116.77492951,9116.77492951,3393.52662451216
567,1152,1239,Waring Rd,Summer,Walnut Grove,Paved Shoulder,Existing,,,STP-BIKE,Memphis,TN,,1.21580786772,,2020,,,,STP-BIKEPED,6419.46554154,6419.46554154,2400.77037239184
568,1157,1244,Broad Ave,end,Collins,Cycle Track,Existing,,,HAMPLINE,Memphis,TN,,0.421963336946,,2019,,,,CMAQ,2227.96641907,2227.96641907,829.644108798789
569,1158,1245,Hampline Connector,East Parkway,Broad,Shared Use Path,Existing,,,HAMPLINE,Memphis,TN,,0.141721769124,,2014,,,,Private,748.290940976,748.290940976,278.666140949688
570,1159,1246,Broad Ave,Collins,Tillman,Cycle Track,Existing,,,2014PW,Memphis,TN,,0.605000952396,,2014,,,,Local,3194.40502865,3194.40502865,1189.43723126372
571,1160,1247,Tillman St,Broad,Shelby Farms Greenline,Cycle Track,Existing,,,HAMPLINE,Memphis,TN,,0.66506942657,,2020,,,,CMAQ,3511.56657229,3511.56657229,1313.29969472633
572,1161,1248,Overton Park Connector,Park trails,East Parkway,Shared Use Path,Existing,,,OPC,Memphis,TN,,0.0786170772372,,2014,,,,RTP,415.098167812,415.098167812,154.64142334329
573,1175,1262,Evergreen St,Jackson,North Parkway,Marked Shared Roadway,Existing,MEM 20; MEM 40,,2016PW,Memphis,TN,,0.551834802035,,2017,,,,Local,2913.68775474,2913.68775474,1089.83531305033
574,1183,1271,Horn Lake Rd,LeClaire,Honduras,Bike Lane,Existing,,,2016CIP,Memphis,TN,,1.01265356431,,2016,,,,Local,5346.81081958,5346.81081958,1996.45486423575
575,1211,1301,Southern Ave,Goodwyn,Highland,Bike Lane,Existing,,,CMAQ-BIKE,Memphis,TN,,0.954435205485,,2017,,,,Local,5039.41788496,5039.41788496,1875.71014538282
576,1225,1315,EH Crump Blvd,Kentucky,Pauline,Cycle Track,Existing,,,2015TDOT,Memphis,TN,,2.22970737252,,2015,,,,TDOT,11772.8549269,11772.8549269,4385.79281856454
577,1234,1324,Channel 3 Dr,Channel 3,Carolina,Marked Shared Roadway,Existing,,,MAIN2MAIN,Memphis,TN,,0.542894289372,,2015,,,,TIGER III,2866.48184789,2866.48184789,1068.69679249265
578,1235,1325,Carolina Ave,Channel 3,Main,Marked Shared Roadway,Existing,,,MAIN2MAIN,Memphis,TN,,0.349363559707,,2015,,,,TIGER III,1844.63959525,1844.63959525,686.680926490126
579,1236,1326,Main St,Saint Paul,Carolina,Bike Lane,Existing,,,MAIN2MAIN,Memphis,TN,,0.238154565039,,2015,,,,TIGER III,1257.4561034,1257.4561034,470.217336573465
580,1237,1327,Main St,GE Patterson,Saint Paul,Marked Shared Roadway,Existing,,,MAIN2MAIN,Memphis,TN,,0.0820611008732,,2015,,,,TIGER III,433.28261261,433.28261261,162.027616101318
581,1238,1328,Front Street Greenway,Saffarans,AW Willis,Shared Use Path,Existing,,,MAIN2MAIN,Memphis,TN,,0.290706146163,,2016,,,,TIGER III,1534.92845174,1534.92845174,573.914626866301
582,1240,1331,GE Patterson Ave,Main,Fourth,Marked Shared Roadway,Existing,,,MAIN2MAIN,Memphis,TN,,0.487396091337,,2015,,,,TIGER III,2573.45136226,2573.45136226,958.039639427755
583,1241,1332,Fourth,Vance,GE Patterson,Marked Shared Roadway,Existing,,,MAIN2MAIN,Memphis,TN,,0.18257362463,,2015,,,,TIGER III,963.988738044,963.988738044,360.473323866023
584,1242,1333,Fourth St,"MLK, Jr.",Vance,Marked Shared Roadway,Existing,,,Local,Memphis,TN,,0.138760993723,,2017,,,,TIGER III,732.658046857,732.658046857,273.975282492189
585,1243,1334,Harahan Approach,Harahan Bridge,Channel 3,Shared Use Path,Existing,,,MAIN2MAIN,Memphis,TN,,0.403391735035,,2015,,,,TIGER III,2129.90836099,2129.90836099,793.526571281833
586,1244,1335,Harahan Bridge,West Memphis,Virginia Ave,Shared Use Path,Existing,,,MAIN2MAIN,Memphis,TN,,0.931055315603,,2016,,,,TIGER III,4915.97206638,4915.97206638,1833.83531909388
587,1245,1336,Wolf River Greenway Phase 4,McLean,Hollywood,Shared Use Path,Existing,,,WRG Master Plan,Memphis,TN,,1.26583708839,,0,,,,TE,6683.61982672,6683.61982672,2493.23296602694
588,1266,1361,Hickory Hill Rd,Mount Moriah,Winchester,Bike Lane,Existing,,,STP5,Memphis,TN,,1.5847658989,,2018,,,,STP-M,8367.56394621,8367.56394621,3125.59298732956
589,1267,1362,Highland St,Summer,Walnut Grove,Bike Lane,Existing,,,STP5,Memphis,TN,,1.20892774501,,2019,,,,STP-M,6383.13849365,6383.13849365,2387.24195723219
590,1268,1363,Perkins Rd,Summer,Walnut Grove,Bike Lane,Existing,,,STP5,Memphis,TN,,1.21446856525,,2019,,,,STP-M,6412.39402452,6412.39402452,2398.15391034529
591,1270,1365,Airways Blvd,Shelby,MS State Line,Bike Lane,Existing,,,STP6,Memphis,TN,,1.79015713597,,2020,,,,STP-M,9452.02967794,9452.02967794,3529.20701247476
592,1271,1366,Knight Arnold Rd,Hickory Hill,Ridgeway,Bike Lane,Existing,,,STP5,Memphis,TN,,0.508163967318,,2019,,,,STP-M,2683.10574744,2683.10574744,998.000924118046
593,1272,1367,Mendenhall Rd,Mount Moriah,Knight Arnold,Bike Lane,Existing,,,STP6,Memphis,TN,,1.11753105754,,2020,,,,STP-M,5900.56398383,5900.56398383,2204.72052585185
594,1275,1370,Front St,Jefferson,Union,Marked Shared Roadway,Existing,,,2015CIP,Memphis,TN,,0.289011471379,,2015,,,,STP-M,1525.98056888,1525.98056888,570.498271817436
595,1276,1371,Neely Rd,Raines,Holmes,Bike Lane,Existing,,,STP4,Memphis,TN,,1.95516524978,,2016,,,,STP-M,10323.2725189,10323.2725189,3855.02491613157
596,1277,1372,Prescott St,Radford,Sharpe,Bike Lane,Existing,,,STP4,Memphis,TN,,1.22898626592,,2016,,,,STP-M,6489.04748408,6489.04748408,2425.20460555688
597,1278,1373,Brooks Rd,US-51,Airways,Buffered Bike Lane,Existing,,,STP4,Memphis,TN,,1.81687575042,,2016,,,,STP-M,9593.10396224,9593.10396224,3568.14564837851
