FID,objectid_1,objectid,facility_n,begin,end,facility_c,status,route_id,bpp_2005,local_plan,jurisdicti,st,note,miles,priority,yr_constr,i269,blvd,divided,fund_sourc,shape_leng,shape_le_1,Shape__Length
363,757,830,Highland St,James,Orchi,Paved Shoulder,Existing,MEM 40; MEM 60,,2003Routes,Memphis,TN,,1.21169292581,Primary,2011,N,,,Local,6397.7386483,6397.7386483,2394.14127980532
364,759,832,Byhalia Rd,Shelby,Estanaula,Signed Shared Roadway,Existing,,,,Collierville,TN,,0.770919199444,Secondary,0,N,,,,4070.45337306,4070.45337306,1519.96436905365
365,761,834,Ross Rd,Winchester,Birch Run,Bike Lane,Existing,,,ARRA,Memphis,TN,,0.575197653327,Primary,2011,N,,,ARRA,3037.04360957,3037.04360957,1134.48438157414
366,762,835,Ross Rd,Birch Run,Devonshire,Marked Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.633538568007,Regional,2011,N,,,ARRA,3345.08363908,3345.08363908,1249.31775563816
367,763,836,Airways Blvd,Raines,Shelby,Bike Lane,Existing,,NEW2011,2011PW,Memphis,TN,,1.00195531485,Regional,2011,N,,,Local,5290.3240624,5290.3240624,1975.8075111494
368,764,837,Semmes St,Southern,Park,Signed Shared Roadway,Existing,,,"ARRA
ARRA",Memphis,TN,,0.524611314383,Primary,2011,N,,,ARRA,2769.94773994,2769.94773994,1035.5635214194
369,765,838,Semmes St,Park,Baron,Paved Shoulder,Existing,,,ARRA,Memphis,TN,,0.557026686327,Primary,2011,N,,,ARRA,2941.10090381,2941.10090381,1099.23488748533
370,766,839,Trinity Rd,Germantown,Walnut Bend,Bike Lane,Existing,,,2011PW,Memphis,TN,,0.648273589544,Primary,2011,N,,,Local,3422.88455279,3422.88455279,1274.45762525315
371,767,840,Swinnea Rd,Winchester,Shelby,Bike Lane,Existing,,NEW2011,STP1,Memphis,TN,,2.19070132053,Secondary,2012,N,,,STP-M,11566.9029724,11566.9029724,4320.39387096466
372,768,843,Clarke Rd,Winchester,Myers,Signed Shared Roadway,Existing,,NEW2011,STP1,Memphis,TN,,0.329303528507,Secondary,2013,N,,,STP-M,1738.72263052,1738.72263052,649.467636818825
373,770,845,Poplar Pike,Massey,Kirby Rd,Signed Shared Roadway,Existing,,,STP2,Memphis,TN,,0.389737586874,Regional,2012,N,,,STP-M,2057.81445869,2057.81445869,766.133401003664
374,771,846,Shelby Oaks,Raleigh Lagrange,Sycamore View,Marked Shared Roadway,Existing,,NEW2011,STP2,Memphis,TN,,1.32161925997,Secondary,2011,N,,,STP-M,6978.14969265,6978.14969265,2606.2180713988
375,772,847,Shelby Oaks,US-70,Sycamore View,Marked Shared Roadway,Existing,,NEW2011,2014CIP,Memphis,TN,,0.960285462001,Secondary,2015,N,,,Local,5070.30723937,5070.30723937,1891.08380322595
376,774,849,Waverly Farms Rd,Raleigh Millington,Greenside,Bike Lane,Existing,,,,Shelby Co,TN,,0.767244342542,Secondary,2011,N,,,,4051.05012862,4051.05012862,1511.42161544792
377,786,861,Riverdale Rd,Kelsey Woods,Neshoba,Paved Shoulder,Existing,,,,Germantown,TN,,0.678490325069,Primary,0,N,,,,3582.42891636,3582.42891636,1339.27449088932
378,787,862,Cordova Rd,Hollow Fork,Neshoba,Bike Lane,Existing,,,,Germantown,TN,,0.473369036204,Primary,0,N,,,,2499.38851116,2499.38851116,934.108579662604
379,788,863,Neshoba Rd,Exeter,Kimbrough,Paved Shoulder,Existing,,,,Germantown,TN,,0.533022895804,Primary,0,N,,,,2814.36088985,2814.36088985,1047.31698101593
380,789,864,Miller Farms Rd,Dove Field,Hollow Fork,Paved Shoulder,Existing,,,,Germantown,TN,,0.13921091627,Primary,0,N,,,,735.033637904,735.033637904,274.383983523269
381,790,865,Miller Farms Rd,Hollow Fork,Neshoba,Paved Shoulder,Existing,,,,Germantown,TN,,0.502889867944,Primary,0,N,,,,2655.25850275,2655.25850275,992.10551211893
382,791,866,Neshoba Rd,Old Mill,Cordova,Paved Shoulder,Existing,,,,Germantown,TN,,0.183731162101,Primary,0,N,,,,970.100535892,970.100535892,361.015877099219
383,792,867,Hollow Fork,Miller Farms,Cordova,Paved Shoulder,Existing,,,,Germantown,TN,,0.271471763999,Secondary,0,N,,,,1433.37091392,1433.37091392,533.795992828347
384,793,868,Neshoba Rd,Newsum,Old Mill,Signed Shared Roadway,Existing,,,,Germantown,TN,,0.262334288476,Secondary,0,N,,,,1385.12504315,1385.12504315,516.472593492265
385,794,869,Brierbrook Rd,Farmingdale,Poplar,Paved Shoulder,Existing,,,,Germantown,TN,,1.28606931471,Primary,0,N,,,,6790.44598168,6790.44598168,2537.02158815255
386,795,870,Miller Farms Rd,Neshoba,Poplar,Paved Shoulder,Existing,,,,Germantown,TN,,0.563618809155,Primary,0,N,,,,2975.90731234,2975.90731234,1111.91176441025
387,796,871,Riverdale Rd,Poplar Pike,McVay,Bike Lane,Existing,,,,Germantown,TN,,0.670055957064,Primary,0,N,,,,3537.8954533,3537.8954533,1321.89359761893
388,797,872,Poplar Pike,Ole Pike,Oakleigh,Paved Shoulder,Existing,,,,Germantown,TN,,0.674226104029,Primary,0,N,,,,3559.91382927,3559.91382927,1324.94690574869
389,798,873,Farmingdale Rd,Brierbrook,Kimbrough,Paved Shoulder,Existing,,,,Germantown,TN,,0.3630920075,Primary,0,N,,,,1917.1257996,1917.1257996,713.530227904947
390,799,874,Allenbay Rd,Farmington,Willow Oak,Paved Shoulder,Existing,,,,Germantown,TN,,0.453205198169,Primary,0,N,,,,2392.92344633,2392.92344633,894.315846848394
391,800,875,Farmington Rd,Brierbrook,Wolf River Blvd,Paved Shoulder,Existing,,,,Germantown,TN,,1.90155924718,Primary,0,N,,,,10040.2328251,10040.2328251,3737.65000021931
392,801,876,Cordes Rd,Farmington,Dogwood,Paved Shoulder,Existing,,,,Germantown,TN,,0.837788072586,Primary,0,N,,,,4423.52102326,4423.52102326,1653.08514101985
393,802,877,Corbin Rd,Cordes,Farmington,Paved Shoulder,Existing,,,,Germantown,TN,,0.639448853249,Secondary,0,N,,,,3376.28994515,3376.28994515,1259.44069284949
394,803,878,Cordova Rd,Charstone,Hollow Fork,Paved Shoulder,Existing,,,,Germantown,TN,,0.15821987188,Secondary,0,N,,,,835.400923525,835.400923525,312.110296661913
395,805,880,Hacks Cross Rd,CD Smith,Memphis City Limit,Paved Shoulder,Existing,,,,Germantown,TN,,0.704250737835,Primary,0,N,,,,3718.44389577,3718.44389577,1389.15970231397
396,806,881,Farindon Rd,Cross Country,Hacks Cross,Paved Shoulder,Existing,,,,Germantown,TN,,0.460136489296,Secondary,0,N,,,,2429.52066348,2429.52066348,903.762475657342
397,807,882,Cordova Rd,Neshoba,Willey,Paved Shoulder,Existing,,,,Germantown,TN,,0.179763542186,Secondary,0,N,,,,949.15150274,949.15150274,354.557052732711
398,827,903,McLean Blvd,Hunter,Tutwiler,Bike Lane,Existing,MEM20; MEM40,,STP3; 2003Routes,Memphis,TN,,1.03206515838,Primary,2011,N,,,STP-M,5449.30403626,5449.30403626,2038.41622839053
399,835,911,Hornsby Dr,Wilson,Holmes,Paved Shoulder,Existing,,NEW2011,2016PW,Memphis,TN,,0.516134574618,Secondary,2015,N,,,Local,2725.19055398,2725.19055398,1017.35082799722
400,857,934,Appling Farms Pkwy,Whitten,Appling,Bike Lane,Existing,,NEW2011,2013PW,Memphis,TN,,1.50838496918,Primary,2013,N,,,Local,7964.27263729,7964.27263729,2970.44804855897
401,876,954,Old Hwy 61,Hwy 161,Green River Rd,Signed Shared Roadway,Existing,Great River Road,,,DeSoto Co,MS,,12.909097409,Regional,0,N,,,,68160.0343198,68160.0343198,25362.2896030292
402,877,955,Bass Landing Rd,Mississippi River,Old Hwy 61,Signed Shared Roadway,Existing,Great River Road,,,DeSoto Co,MS,VERIFY MRT ROUTE,1.52126611085,Secondary,2012,N,,,,8032.28506529,8032.28506529,2986.12200677024
403,885,963,Robertson Gin Rd,Oak Grove,Green Village,Signed Shared Roadway,Existing,Lake & Back,,,Hernando,MS,,1.80470832205,Primary,0,N,,,,9528.8599404,9528.8599404,3542.18333910233
404,886,964,McCracken Rd,Commerce,Hernando City Limit,Signed Shared Roadway,Existing,Lake & Back,,,Hernando,MS,,1.32783652433,Primary,0,N,,,,7010.97684844,7010.97684844,2610.5041036363
405,887,965,McCracken Rd,Hernando City Limit,Slocum,Signed Shared Roadway,Existing,Lake & Back,,,DeSoto Co,MS,,1.97154172796,Primary,0,N,,,,10409.7403236,10409.7403236,3875.18450735307
406,888,966,Slocum Rd,Belmont,McCracken,Signed Shared Roadway,Existing,Lake & Back,,,DeSoto Co,MS,,0.752201171326,Primary,0,N,,,,3971.6221846,3971.6221846,1472.09181251069
407,889,967,Belmont Rd,US-51,Slocum,Signed Shared Roadway,Existing,Lake & Back,,,DeSoto Co,MS,,0.762214501666,Primary,0,N,,,,4024.4925688,4024.4925688,1495.45095851956
408,890,968,Bright Rd,Jaybird,Malone,Signed Shared Roadway,Existing,Rollercoaster,,,DeSoto Co,MS,,2.01357966656,Secondary,0,N,,,,10631.7006395,10631.7006395,3943.91573992871
409,891,969,Lakewood Dr,Woodhills,Homewood,Signed Shared Roadway,Existing,MEM 30; MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.964530476979,Primary,2003,N,Y,,Local,5092.72091845,5092.72091845,1900.95778988749
410,933,1011,Peabody Ave,Waldran,Belvedere,Signed Shared Roadway,Existing,MEM 10; MEM 60,,2003Routes,Memphis,TN,,1.01778550808,Primary,2003,N,,,Local,5373.90748266,5373.90748266,2000.59764263708
411,934,1012,Peabody Ave,Peabody,Dr MLK Jr,Bike Lane,Existing,,,2012PW,Memphis,TN,,0.247724653612,Primary,2012,N,,,Local,1307.98617107,1307.98617107,486.975898552116
412,936,1014,Ball Rd,Norris,Perry,Paved Shoulder,Existing,,,ARRA,Memphis,TN,,0.257574839076,Regional,2012,N,,,ARRA,1359.99515032,1359.99515032,506.432371704328
